v	c	a	d	time	branch	n_der	n_tot	time_elapsed	iter	p
1	1	0	2	0.6034482758	v	41383	88158	255.85	10	0.469418543977858
1	1	2	2	0.6034482758	v	47395	89007	254.25	10	0.532486208949858
0	0	2	1	0.6034482758	v	12298	73396	325.75	10	0.167556815085291
2	2	0	1	0.6034482758	v	60326	72793	327.2	10	0.828733532070391
0	1	1	2	0.6034482758	v	13734	53862	418.35	10	0.254984961568453
2	1	1	2	0.6034482758	v	39115	52978	418.05	10	0.738325342595039
0	0	1	1	0.6034482758	v	5841	45338	532.65	10	0.12883232608408
2	2	1	1	0.6034482758	v	38751	44524	540.4	10	0.870339592130087
1	0	0	1	0.6034482758	v	17193	42518	571.2	10	0.404369913918811
2	0	2	1	0.6034482758	v	29934	41474	577.7	10	0.721753387664561
1	2	2	1	0.6034482758	v	24896	41839	577.15	10	0.595042902555032
2	0	0	1	0.6034482758	v	24246	39091	626.1	10	0.620245069197514
0	2	0	1	0.6034482758	v	11444	42151	584	10	0.271500083034803
0	2	2	1	0.6034482758	v	14639	38924	619.95	10	0.37609187133902
1	1	1	2	0.6034482758	v	17163	34211	650.4	10	0.501680745958902
1	2	0	1	0.6034482758	v	15658	30049	797.3	10	0.521082232353822
1	0	2	1	0.6034482758	v	14324	30264	784.6	10	0.47330161247687
0	1	0	1	0.6034482758	v	3493	16711	1007.2	10	0.209023996170187
2	1	2	1	0.6034482758	v	12792	16272	1037.95	10	0.786135693215339
2	0	1	1	0.6034482758	v	10360	15458	1052.95	10	0.670203131064821
0	2	1	1	0.6034482758	v	5229	15454	1061.55	10	0.338359000905914
1	0	1	1	0.6034482758	v	5870	13254	1074.1	10	0.442885166742116
1	2	1	1	0.6034482758	v	7390	13190	1074.1	10	0.56027293404094
2	1	0	1	0.6034482758	v	7537	10722	1074.1	10	0.702947211341168
0	1	2	1	0.6034482758	v	3271	10815	1074.1	10	0.302450300508553
1	1	0	1	0.6034482758	v	4009	8509	1074.1	10	0.471148196027735
1	1	2	1	0.6034482758	v	4528	8535	1074.1	10	0.530521382542472
0	1	1	1	0.6034482758	v	1290	5087	1074.1	10	0.253587576174563
2	1	1	1	0.6034482758	v	3852	5066	1074.1	10	0.760363205684959
1	1	1	1	0.6034482758	v	1692	3465	1074.1	10	0.488311688311688
0	0	0	0	0.6334482758	c	2792608	670842129	0	10	0.0041628393317558
2	2	2	2	0.6334482758	c	550311753	550354789	0	10	0.999921803169773
0	0	0	2	0.6334482758	c	43584	40714617	0.45	10	0.00107047550023619
2	2	2	0	0.6334482758	c	33601220	33729950	0.55	10	0.996183510500312
0	0	0	1	0.6334482758	c	4081	15405557	6.3	10	0.000264904410791509
1	0	0	0	0.6334482758	c	137463	7848461	33.2	10	0.0175146439537637
0	2	0	0	0.6334482758	c	3805103	4442156	34.4	10	0.856589232795967
0	0	1	0	0.6334482758	c	58557	4338477	32.3	10	0.0134971327495801
0	0	2	0	0.6334482758	c	104731	4171158	21.35	10	0.0251083751802257
2	0	0	0	0.6334482758	c	137261	3446407	38.55	10	0.0398272751883338
0	1	0	0	0.6334482758	c	1270757	2992371	89.75	10	0.424665591265254
2	2	0	0	0.6334482758	c	2659866	2796420	21.75	10	0.951168279443002
1	2	0	0	0.6334482758	c	1438909	1570678	51.15	10	0.916106929618929
2	2	2	1	0.6334482758	c	2304639	2308750	10	10	0.998219382782891
2	0	2	0	0.6334482758	c	122378	1390088	38.85	10	0.0880361531068537
2	2	1	0	0.6334482758	c	1364904	1411267	36.3	10	0.967147959953715
0	2	2	0	0.6334482758	c	1230994	1332830	43.05	10	0.92359415679419
1	2	2	0	0.6334482758	c	1243458	1315469	39.5	10	0.945258307113281
1	0	2	0	0.6334482758	c	71409	1108697	53.7	10	0.0644080393470894
0	2	1	0	0.6334482758	c	572150	627773	103.45	10	0.911396316821526
1	0	1	0	0.6334482758	c	32939	595382	120.4	10	0.0553241448347448
2	0	1	0	0.6334482758	c	45425	599613	103.1	10	0.0757571967252211
2	1	0	0	0.6334482758	c	274850	550525	140.7	10	0.499250715226375
1	1	0	0	0.6334482758	c	263648	537261	185.95	10	0.490726108911684
0	0	2	2	0.6334482758	c	29001	755364	30.9	10	0.0383934103293247
2	2	0	2	0.6334482758	c	726188	754982	31.4	10	0.96186134238962
2	1	2	0	0.6334482758	c	259311	506398	100	10	0.512069557936643
1	2	1	0	0.6334482758	c	465525	497758	119.05	10	0.935243632447896
0	1	2	0	0.6334482758	c	203490	412042	149.4	10	0.49385742230161
0	0	1	2	0.6334482758	c	13840	465590	51.25	10	0.0297257243497498
2	2	1	2	0.6334482758	c	455801	469624	50.9	10	0.970565814353611
0	2	0	2	0.6334482758	c	394788	435162	56.1	10	0.907220759165552
1	0	0	2	0.6334482758	c	21782	432626	55.3	10	0.050348337825281
2	0	2	2	0.6334482758	c	41685	437698	54.4	10	0.0952368985007928
1	2	2	2	0.6334482758	c	413043	435602	55.4	10	0.948211899853536
1	1	2	0	0.6334482758	c	144612	287558	191.15	10	0.502896806905042
2	0	0	2	0.6334482758	c	28342	402194	59.2	10	0.0704684803850878
0	2	2	2	0.6334482758	c	373899	402441	58.95	10	0.929077802708969
0	1	1	0	0.6334482758	c	112003	229167	313.55	10	0.488739652742323
1	2	0	2	0.6334482758	c	289718	312008	78.1	10	0.928559524114766
1	0	2	2	0.6334482758	c	21972	311136	78.4	10	0.0706186362233878
2	1	1	0	0.6334482758	c	93532	184271	316.95	10	0.507578512082748
1	1	1	0	0.6334482758	c	64954	130716	498.6	10	0.496909330150861
2	1	2	2	0.6334482758	c	87115	170731	141.45	10	0.5102471138809
0	1	0	2	0.6334482758	c	82249	168221	141.8	10	0.488934199654027
0	2	1	2	0.6334482758	c	147263	160806	150.5	10	0.915780505702524
